Timestamp,my-wallet-n-users
2011-11-29 00:00:00,2
2011-12-17 00:00:00,213
2012-01-04 00:00:00,451
2012-01-22 00:00:00,1071
2012-02-09 00:00:00,1666
2012-02-27 00:00:00,2213
2012-03-16 00:00:00,2893
2012-04-03 00:00:00,3772
2012-04-21 00:00:00,4857
2012-05-09 00:00:00,6392
2012-05-27 00:00:00,7697
2012-06-14 00:00:00,9257
2012-07-02 00:00:00,11098
2012-07-20 00:00:00,13780
2012-08-07 00:00:00,16174
2012-08-25 00:00:00,19477
2012-09-12 00:00:00,23015
2012-09-30 00:00:00,27400
2012-10-18 00:00:00,33083
2012-11-05 00:00:00,37913
2012-11-23 00:00:00,43500
2012-12-11 00:00:00,53179
2012-12-29 00:00:00,75685
2013-01-16 00:00:00,93134
2013-02-03 00:00:00,106934
2013-02-21 00:00:00,121141
2013-03-11 00:00:00,138195
2013-03-29 00:00:00,163619
2013-04-16 00:00:00,223363
2013-05-04 00:00:00,253614
2013-05-22 00:00:00,281617
2013-06-09 00:00:00,305653
2013-06-27 00:00:00,327848
2013-07-15 00:00:00,351533
2013-08-02 00:00:00,373038
2013-08-20 00:00:00,398725
2013-09-07 00:00:00,423130
2013-09-25 00:00:00,446106
2013-10-13 00:00:00,471401
2013-10-31 00:00:00,513288
2013-11-18 00:00:00,583044
2013-12-06 00:00:00,786923
2013-12-24 00:00:00,928384
2014-01-11 00:00:00,1032586
2014-01-29 00:00:00,1151305
2014-02-16 00:00:00,1256708
2014-03-06 00:00:00,1350166
2014-03-24 00:00:00,1419150
2014-04-11 00:00:00,1490494
2014-04-29 00:00:00,1558676
2014-05-17 00:00:00,1620557
2014-06-04 00:00:00,1688351
2014-06-22 00:00:00,1759074
2014-07-10 00:00:00,1835713
2014-07-28 00:00:00,1913748
2014-08-15 00:00:00,2027773
2014-09-02 00:00:00,2125124
2014-09-20 00:00:00,2222984
2014-10-08 00:00:00,2310933
2014-10-26 00:00:00,2399236
2014-11-13 00:00:00,2493727
2014-12-01 00:00:00,2583362
2014-12-19 00:00:00,2671548
2015-01-06 00:00:00,2747920
2015-01-24 00:00:00,2834247
2015-02-11 00:00:00,2922162
2015-03-01 00:00:00,3034588
2015-03-19 00:00:00,3121374
2015-04-06 00:00:00,3208776
2015-04-24 00:00:00,3299459
2015-05-12 00:00:00,3391659
2015-05-30 00:00:00,3490449
2015-06-17 00:00:00,3583017
2015-07-05 00:00:00,3696670
2015-07-23 00:00:00,3846817
2015-08-10 00:00:00,3961954
2015-08-28 00:00:00,4134777
2015-09-15 00:00:00,4259086
2015-10-03 00:00:00,4399506
2015-10-21 00:00:00,4593770
2015-11-08 00:00:00,4782986
2015-11-26 00:00:00,4978961
2015-12-14 00:00:00,5221808
2016-01-01 00:00:00,5445725
2016-01-19 00:00:00,5748099
2016-02-06 00:00:00,5953042
2016-02-24 00:00:00,6165717
2016-03-13 00:00:00,6384808
2016-03-31 00:00:00,6648664
2016-04-18 00:00:00,6876507
2016-05-06 00:00:00,7116743
2016-05-24 00:00:00,7346565
2016-06-11 00:00:00,7579535
2016-06-29 00:00:00,7784628
2016-07-17 00:00:00,7982245
2016-08-04 00:00:00,8183832
2016-08-22 00:00:00,8401982
2016-09-09 00:00:00,8638044
2016-09-27 00:00:00,8902585
2016-10-15 00:00:00,9210781
2016-11-02 00:00:00,9559978
2016-11-20 00:00:00,9994601
2016-12-08 00:00:00,10485871
2016-12-26 00:00:00,10871791
2017-01-13 00:00:00,11288454
2017-01-31 00:00:00,11676600
2017-02-18 00:00:00,12076602
2017-03-08 00:00:00,12473057
2017-03-26 00:00:00,12800919
2017-04-13 00:00:00,13112613
2017-05-01 00:00:00,13419295
2017-05-19 00:00:00,13831826
2017-06-06 00:00:00,14345800
2017-06-20 19:54:00,14710694
2017-06-26 02:05:50,14840880
2017-07-02 02:02:27,14992878
2017-07-06 18:24:33,15107585
2017-07-12 07:24:28,15250740
2017-08-04 13:12:29,15746619
2017-08-09 19:12:58,15868134
2017-08-15 01:13:43,16003014
2017-08-20 01:55:28,16150740
2017-08-24 05:33:57,16270542
2017-08-29 10:10:37,16408192
2017-09-03 09:41:34,16561196
2017-09-08 10:47:54,16710035
2017-09-12 10:57:58,16819865
2017-09-21 12:13:14,17046258
2017-09-26 18:13:29,17162305
2017-09-29 21:19:10,17235273
2017-10-04 07:41:32,17332159
2017-10-09 09:28:24,17442260
2017-10-13 04:36:06,17555548
2017-10-18 10:36:21,17724522
2017-10-23 16:20:54,17910984
2017-10-27 23:54:00,18059350
2017-11-02 05:53:55,18260338
2017-11-07 05:20:30,18461009
2017-11-12 02:04:07,18639620
2017-11-16 13:42:26,18790557
2017-11-21 03:52:16,18948510
2017-11-26 04:24:24,19125153
2017-12-01 08:36:12,19471445
2017-12-05 16:18:09,19720581
2017-12-10 00:52:11,20136102
2017-12-14 22:04:00,20538020
2017-12-20 02:18:50,20912538
2017-12-25 01:00:28,21218301
2017-12-30 07:00:44,21447943
2018-01-04 10:12:05,21648587
2018-01-09 16:01:23,21915902
2018-01-14 02:06:01,22116500
2018-01-19 08:06:00,22330549
2018-01-23 17:48:59,22473740
2018-01-28 15:08:32,22619304
2018-02-02 21:08:46,22775834
2018-02-08 03:09:17,22907903
2018-02-13 09:09:18,23021882
2018-02-18 05:23:36,23134321
2018-02-23 09:15:19,23250933
2018-02-28 15:15:23,23360712
2018-03-05 21:16:24,23473433
2018-03-11 03:16:11,23573197
2018-03-16 09:16:47,23677883
2018-03-21 09:13:14,23764211
2018-03-26 15:13:12,23855295
2018-03-31 15:40:39,23946365
2018-04-05 19:57:34,24033284
2018-04-11 01:57:17,24115134
2018-04-15 20:06:30,24195165
2018-04-21 02:07:01,24282954
2018-04-26 08:06:44,24374569
2018-05-05 05:40:26,24568592
2018-05-10 11:40:35,24662973
2018-05-15 17:39:50,24754168
2018-05-20 23:39:54,24840357
2018-05-25 23:47:54,24931342
2018-05-31 05:47:49,25027274
2018-06-05 11:48:05,25132726
2018-06-10 17:48:41,25231462
2018-06-15 23:48:51,25330948
2018-06-20 23:46:41,25423109
2018-06-26 05:32:16,25577537
2018-06-30 20:21:25,25764015
2018-07-06 02:21:23,25966486
2018-07-11 04:37:11,26143287
2018-07-16 10:37:08,26292026
2018-07-21 13:48:46,26489365
2018-07-26 19:48:55,26744124
2018-07-31 23:54:36,26984738
2018-08-06 05:54:22,27274485
2018-08-08 17:54:32,27405577
2018-08-09 11:54:32,27463785
2018-08-10 05:54:32,27494688
2018-08-10 23:54:32,27541358
2018-08-11 17:54:32,27587943
2018-08-12 11:54:32,27621379
2018-08-13 05:54:32,27639543
2018-08-13 23:54:32,27668860
